pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,sy_plx,sy_dist.1,discoverymethod,disc_year,pl_type
Kepler-346 b,Kepler-346,6.51112086,0.06696,0.0,2.359,143.92393633999993,,,139.8,1008.0,86.75,5543.0,0.91,0.98,-0.153,0.1,4.51,984.105,0.987735,984.105,Transit,2014,Unknown
Kepler-346 c,Kepler-346,23.85164994,0.15913,0.0,2.871,128.79657296000008,,,24.8,654.0,88.74,5543.0,0.91,0.98,-0.153,0.1,4.51,984.105,0.987735,984.105,Transit,2014,Unknown
Kepler-347 b,Kepler-347,12.79838462,0.10429,0.0,2.865,238.2587215000002,,,180.4,908.0,86.06,5833.0,1.45,1.05,0.342,-0.14,4.14,1298.88,0.741042,1298.88,Transit,2014,Unknown
Kepler-347 c,Kepler-347,27.32126628,0.17287,0.0,2.368,256.5595906800004,,,65.7,705.0,85.39,5833.0,1.45,1.05,0.342,-0.14,4.14,1298.88,0.741042,1298.88,Transit,2014,Unknown
Kepler-347 d,Kepler-347,85.51660156,0.36994,0.0,2.63,413.7704949799999,,,14.3,482.0,88.0,5592.0,1.45,1.0,0.342,0.16,4.12,1298.88,0.741042,1298.88,Transit,2023,Unknown
Kepler-348 b,Kepler-348,7.05673363,0.0763,0.0,1.459,156.89433054000008,,,440.6,1196.0,88.28,6503.59,1.3,1.33,0.433,-0.128,4.34,570.783,1.72356,570.783,Transit,2014,Unknown
Kepler-348 c,Kepler-348,17.26528261,0.13856,0.0,1.171,156.83965984000014,,,133.4,888.0,89.99,6503.59,1.3,1.33,0.433,-0.128,4.34,570.783,1.72356,570.783,Transit,2014,Unknown
Kepler-349 b,Kepler-349,5.92974581,0.06587,0.0,2.002,94.5,94.5,,231.3,972.0,89.85,5665.19,1.03,1.01,-0.007,0.151,4.42,940.724,1.03452,940.724,Transit,2014,Unknown
Kepler-349 c,Kepler-349,12.24764903,0.10683,0.0,2.087,111.34568460000033,,,88.0,763.0,89.77,5665.19,1.03,1.01,-0.007,0.151,4.42,940.724,1.03452,940.724,Transit,2014,Unknown
Kepler-350 b,Kepler-350,11.19003927,0.1015,0.0,1.757,200.23819833999983,,,257.72,1037.0,87.76,6492.3,1.29,1.33,0.428,0.041,4.34,956.859,1.01648,956.859,Transit,2014,Unknown
Kepler-350 c,Kepler-350,17.8485279,0.1385,0.0,3.191,7.2,7.2,,138.41,888.0,86.29,6492.3,1.29,1.33,0.428,0.041,4.34,956.859,1.01648,956.859,Transit,2013,Unknown
Kepler-350 d,Kepler-350,26.136337,0.1786,0.0,2.717,14.8,14.8,,83.24,782.0,89.65,6492.3,1.29,1.33,0.428,0.041,4.34,956.859,1.01648,956.859,Transit,2013,Mini-Neptune
Kepler-351 b,Kepler-351,37.05518848,0.2109,0.0,2.889,4.8,4.8,,11.98,498.0,88.19,5313.0,0.76,0.91,-0.386,-0.14,4.64,1083.91,0.894576,1083.91,Transit,2014,Unknown
Kepler-351 c,Kepler-351,57.24899018,0.2818,0.0,2.89,11.1,11.1,,6.71,431.0,89.98,5313.0,0.76,0.91,-0.386,-0.14,4.64,1083.91,0.894576,1083.91,Transit,2014,Mini-Neptune
Kepler-351 d,Kepler-351,142.54011512,0.5177,0.0,2.279,241.34928803999964,,,1.99,318.0,89.99,5313.0,0.76,0.91,-0.386,-0.14,4.64,1083.91,0.894576,1083.91,Transit,2016,Unknown
Kepler-352 b,Kepler-352,10.05532583,0.08463,0.0,0.859,58.49711154000002,,,49.1,694.0,89.87,5262.0,0.73,0.9,-0.432,-0.11,4.66,252.733,3.92796,252.733,Transit,2014,Unknown
Kepler-352 c,Kepler-352,16.33273212,0.11693,0.0,1.212,65.27885417999997,,,25.7,591.0,88.19,5262.0,0.73,0.9,-0.432,-0.11,4.66,252.733,3.92796,252.733,Transit,2014,Unknown
Kepler-352 d,Kepler-352,6.88727999,0.06574,0.0,0.806,64.09412522000001,,,81.3,788.0,88.66,5208.0,0.77,0.8,-0.432,-0.14,4.56,252.733,3.92796,252.733,Transit,2021,Unknown
Kepler-353 b,Kepler-353,5.79531085,0.0519,0.0,1.251,86.19384268,,,27.19,534.0,87.11,3915.0,0.63,0.61,-1.071,0.18,4.62,384.694,2.57123,384.694,Transit,2014,Unknown
Kepler-353 c,Kepler-353,8.41102236,0.0665,0.0,2.13,89.45368378000003,,,16.56,472.0,85.99,3915.0,0.63,0.61,-1.071,0.18,4.62,384.694,2.57123,384.694,Transit,2014,Unknown
Kepler-354 b,Kepler-354,5.47669094,0.0542,0.0,1.916,93.05261938000004,,,64.84,741.0,85.82,4550.0,0.71,0.72,-0.714,-0.04,4.6,554.064,1.77633,554.064,Transit,2014,Unknown
Kepler-354 c,Kepler-354,16.93485739,0.115,0.0,1.254,67.23999191999997,,,14.4,508.0,89.21,4550.0,0.71,0.72,-0.714,-0.04,4.6,554.064,1.77633,554.064,Transit,2014,Unknown
Kepler-354 d,Kepler-354,24.21027984,0.1459,0.0,1.436,78.40149083999998,,,8.95,451.0,89.38,4550.0,0.71,0.72,-0.714,-0.04,4.6,554.064,1.77633,554.064,Transit,2014,Unknown
Kepler-355 b,Kepler-355,11.0315749,0.09482,0.0,1.696,166.55655370000005,,,151.7,840.0,88.59,5787.0,1.25,1.04,0.195,-0.06,4.26,1432.17,0.669477,1432.17,Transit,2014,Unknown
Kepler-355 c,Kepler-355,25.76280624,0.16689,0.0,3.189,205.35297945999983,,,49.1,633.0,89.32,5787.0,1.25,1.04,0.195,-0.06,4.26,1432.17,0.669477,1432.17,Transit,2014,Unknown
Kepler-356 b,Kepler-356,4.61265057,0.05705,0.0,1.665,241.44356311999985,,,786.7,1294.0,84.44,6018.64,1.56,1.11,0.461,-0.023,4.09,707.559,1.38478,707.559,Transit,2014,Unknown
Kepler-356 c,Kepler-356,13.12133001,0.11456,0.0,2.097,218.96873410000012,,,194.9,913.0,87.29,6018.64,1.56,1.11,0.461,-0.023,4.09,707.559,1.38478,707.559,Transit,2014,Unknown
Kepler-357 b,Kepler-357,6.47540341,0.06299,0.0,1.644,130.7778195400002,,,67.7,793.0,88.31,4870.0,0.74,0.79,-0.556,0.06,4.6,688.573,1.42408,688.573,Transit,2014,Unknown
Kepler-357 c,Kepler-357,16.85830819,0.11918,0.0,2.163,122.84884268000016,,,18.9,576.0,88.98,4870.0,0.74,0.79,-0.556,0.06,4.6,688.573,1.42408,688.573,Transit,2014,Unknown
Kepler-357 d,Kepler-357,49.5004952,0.24444,0.0,2.932,143.95962897999982,,,4.5,402.0,89.86,4935.0,0.71,0.79,-0.556,0.06,4.6,688.573,1.42408,688.573,Transit,2014,Unknown
Kepler-358 b,Kepler-358,34.06074733,0.2079,0.0,2.928,129.1563295400001,,,21.8,554.0,89.36,5496.97,0.94,0.96,-0.138,0.035,4.47,1101.1,0.880201,1101.1,Transit,2014,Unknown
Kepler-358 c,Kepler-358,83.48912492,0.3779,0.0,2.911,315.8793749400003,,,6.6,411.0,89.75,5496.97,0.94,0.96,-0.138,0.035,4.47,1101.1,0.880201,1101.1,Transit,2014,Unknown
Kepler-359 b,Kepler-359,25.56378757,0.15949,0.0,3.084,129.96387398000002,,,23.9,671.0,88.02,5683.0,0.92,1.01,-0.097,-0.29,4.51,1443.21,0.665683,1443.21,Transit,2014,Unknown
Kepler-359 c,Kepler-359,57.68956952,0.27439,0.0,4.143,2.9,2.9,0.1,8.1,512.0,88.74,5683.0,0.92,1.01,-0.097,-0.29,4.51,1443.21,0.665683,1443.21,Transit,2014,Unknown
Kepler-359 d,Kepler-359,77.085964,0.3329,0.0,24.437,2.7,2.7,0.1,5.5,464.0,88.0,5585.0,0.83,0.83,-0.097,-0.29,4.51,1443.21,0.665683,1443.21,Transit,2014,Unknown
Kepler-36 b,Kepler-36,13.84984283,0.114133,0.0,1.486,1.08549,5.56,1.82272,247.0,977.0,89.95,5979.0,1.63,1.03,0.51,-0.18,4.1,527.956,1.86543,527.956,Transit,2012,Unknown
Kepler-36 c,Kepler-36,16.23192004,0.12687,0.0,3.962,16.27285,9.61,1.44169,191.0,926.0,89.36,5979.0,1.63,1.03,0.51,-0.18,4.1,527.956,1.86543,527.956,Transit,2012,Mini-Neptune
Kepler-360 b,Kepler-360,3.28970072,0.04323,0.0,1.415,146.47379635999982,,,383.7,1116.0,89.73,5580.0,0.92,0.99,-0.132,0.15,4.51,876.044,1.11282,876.044,Transit,2014,Unknown
Kepler-360 c,Kepler-360,7.18645388,0.07279,0.0,1.844,123.94008602000022,,,135.4,860.0,87.2,5580.0,0.92,0.99,-0.132,0.15,4.51,876.044,1.11282,876.044,Transit,2014,Unknown
Kepler-361 b,Kepler-361,8.48642369,0.08636,0.0,1.615,208.90646161999996,,,372.1,1060.0,89.96,6203.43,1.47,1.19,0.459,0.024,4.18,930.32,1.04629,930.32,Transit,2014,Unknown
Kepler-361 c,Kepler-361,55.1866695,0.30084,0.0,2.806,336.8600664200005,,,30.6,568.0,89.72,6145.0,1.47,1.19,0.459,0.04,4.18,930.32,1.04629,930.32,Transit,2014,Unknown
Kepler-362 b,Kepler-362,10.32732564,0.08979,0.0,1.606,168.53013326000004,,,213.2,838.0,88.47,5745.22,1.28,1.03,0.209,-0.156,4.23,1090.51,0.88975,1090.51,Transit,2014,Unknown
Kepler-362 c,Kepler-362,37.86572291,0.2135,0.0,3.204,208.3908653999997,,,37.7,543.0,89.83,5745.22,1.28,1.03,0.209,-0.156,4.23,1090.51,0.88975,1090.51,Transit,2014,Unknown
Kepler-363 b,Kepler-363,3.61457091,0.04936,0.0,1.295,267.3225901999997,,,940.0,1347.0,86.02,5529.7,1.66,0.97,0.365,0.397,3.99,762.596,1.28244,762.596,Transit,2014,Unknown
