pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,discoverymethod,disc_year
TOI-2485 b,TOI-2485,11.23479,0.1093,0.0341,12.139,766.60212,766.60212,2.36,275.6,1134.0,89.49,6016.4,1.72,1.16,0.52,,4.01,397.953,Transit,2024
TOI-2497 b,TOI-2497,10.655669,0.1166,0.195,11.142,1531.93292,1531.93292,6.1,997.81,1595.0,88.16,7360.0,2.36,1.86,1.167,0.094,3.96,285.289,Transit,2023
TOI-2498 b,TOI-2498,3.738252,0.0491,0.089,6.06,34.62,34.62,0.86,790.48,1443.0,87.12,5905.0,1.26,1.12,,0.167,4.3,275.265,Transit,2023
TOI-251 b,TOI-251,4.9377254,0.05741,0.0,2.74,317.83,317.83,,277.75,1041.0,87.52,5875.0,0.88,1.04,-0.08,-0.106,4.56,99.523,Transit,2021
TOI-2524 b,TOI-2524,7.18585,0.073,0.0,11.209,203.41018,203.41018,0.79,210.61,1100.0,89.4,5831.0,1.12,1.01,0.116,0.06,4.34,438.842,Transit,2023
TOI-2525 b,TOI-2525,23.2856,0.1511,0.17,8.676,26.69759,26.69759,0.225,16.36,513.0,89.5,5096.0,0.79,0.85,-0.44,0.14,4.58,395.398,Transit,2023
TOI-2525 c,TOI-2525,49.2519,0.249,0.157,10.133,208.81326,208.81326,1.11,6.05,400.0,89.97,5096.0,0.79,0.85,-0.44,0.14,4.58,395.398,Transit,2023
TOI-2529 b,TOI-2529,64.5949,0.327,0.021,11.545,743.71847,743.71847,,70.97,636.0,,5802.0,1.7,1.11,0.464,0.1,4.03,296.271,Transit,2024
TOI-2545 b,TOI-2545,7.994037,,,2.75,,,,258.82,1023.0,,5846.29,1.25,1.05,0.218,-0.273,4.27,107.118,Transit,2022
TOI-2567 b,TOI-2567,5.983944,0.0672,0.0,10.929,63.88351,63.88351,0.269,558.0,1352.0,88.3,5611.0,1.69,1.13,0.405,0.241,4.04,504.775,Transit,2022
TOI-257 b,TOI-257,18.387686,0.1528,0.0,7.163,43.86032,43.86032,0.65,186.0,1027.0,87.91,6095.0,1.87,1.41,0.636,0.175,4.04,76.9028,Transit,2021
TOI-2570 b,TOI-2570,2.9887615,0.04145,0.0,13.641,260.61929,260.61929,0.563,699.0,1431.0,87.73,5771.0,1.09,1.06,0.079,0.191,4.38,361.857,Transit,2022
TOI-2580 b,TOI-2580,3.39775,0.048,0.08,17.374,200.2319,200.2319,0.22,1730.0,2410.0,,6120.0,1.81,1.33,0.616,0.26,4.15,379.253,Transit,2024
TOI-2583 A b,TOI-2583 A,4.5207265,0.0571,0.0,14.46,79.4571,79.4571,0.144,750.9,1456.0,88.16,5936.0,1.48,1.22,0.388,0.158,4.18,566.189,Transit,2023
TOI-2587 A b,TOI-2587 A,5.45664,0.0635,0.0,12.072,69.28659,69.28659,0.216,728.0,1445.0,84.81,5760.0,1.73,1.15,0.471,0.13,4.02,373.675,Transit,2023
TOI-2589 b,TOI-2589,61.6277,0.3,0.522,12.106,1112.39942,1112.39942,,21.75,592.0,89.17,5579.0,1.07,0.93,-0.004,0.12,4.35,200.273,Transit,2023
TOI-260 b,TOI-260,13.475815,0.091,0.0,1.473,3.3,3.3,5.6,10.18,439.0,88.84,4050.0,0.55,0.55,-1.137,-0.211,4.7,20.1852,Transit,2024
TOI-261.01,TOI-261,3.3639254,0.034792,,3.045,,,,874.8,1722.0,,5890.3,1.28,0.5,,,3.92,114.495,Transit,2024
TOI-262 b,TOI-262,11.14529,0.163,,2.07,,,,56.91,584.0,89.011,5310.0,0.85,0.91,,0.26,4.54,43.932,Transit,2023
TOI-2641 b,TOI-2641,4.880974,0.0607,0.18,18.103,122.68177,122.68177,0.092,602.0,1387.0,83.75,6100.0,1.34,1.16,0.34,-0.15,4.2,344.045,Transit,2023
TOI-2669 b,TOI-2669,6.2034,,0.09,19.728,193.87533,193.87533,,375.55,1226.0,,4800.0,4.1,1.19,,0.1,3.29,393.443,Transit,2022
TOI-269 b,TOI-269,3.6977155,0.0345,0.425,2.77,8.8,8.8,2.28,19.0,531.0,88.14,3514.0,0.4,0.39,,-0.29,4.83,57.0225,Transit,2021
TOI-270 b,TOI-270,3.360156,0.03197,0.034,1.206,1.58,1.58,4.97,19.93,581.0,88.65,3386.0,0.38,0.4,-1.77,-0.17,4.87,22.4793,Transit,2019
TOI-270 c,TOI-270,5.6605746,0.04526,0.027,2.355,6.15,6.15,2.6,9.94,488.0,89.53,3386.0,0.38,0.4,-1.77,-0.17,4.87,22.4793,Transit,2019
TOI-270 d,TOI-270,11.38014,0.0721,0.0,2.19,4.78,4.78,2.72,3.92,387.0,89.68,3386.0,0.38,0.4,-1.77,-0.17,4.87,22.4793,Transit,2019
TOI-2714 b,TOI-2714,2.499387,0.036,0.164,13.72,228.0,228.0,0.49,945.55,1603.0,86.3,5665.0,1.25,1.07,0.16,0.3,4.25,597.873,Transit,2024
TOI-2768 b,TOI-2768,1.50801,0.027,,2.63,,,,89.05,855.0,87.78,4008.0,0.66,0.63,-0.998,,4.5,78.4525,Transit,2024
TOI-277 b,TOI-277,3.994,0.0269,,2.65,,,,28.24,588.0,88.9,4031.0,0.36,0.16,,-0.01,4.58,64.6692,Transit,2022
TOI-2796 b,TOI-2796,4.8084983,0.0569,0.0,17.262,139.8445,139.8445,0.15,352.0,1205.0,85.22,5764.0,1.07,1.06,0.055,0.239,4.4,350.343,Transit,2023
TOI-2803 A b,TOI-2803 A,1.96229325,0.03185,0.0,18.114,309.8827,309.8827,0.287,2150.0,1893.0,89.0,6280.0,1.25,1.12,0.336,-0.105,4.3,494.818,Transit,2023
TOI-2818 b,TOI-2818,4.039709,0.0493,0.0,15.278,225.65817,225.65817,0.34,598.0,1376.0,87.73,5721.0,1.23,0.98,0.164,-0.02,4.25,312.674,Transit,2023
TOI-2842 b,TOI-2842,3.5514058,0.0475,0.0,12.845,117.59651,117.59651,0.304,781.8,1471.0,84.42,5910.0,1.26,1.14,0.246,0.233,4.29,460.995,Transit,2023
TOI-286 b,TOI-286,4.5117244,0.0503,0.0,1.42,4.53,4.53,8.63,86.77,979.0,87.52,5152.0,0.78,0.83,0.386,-0.05,4.59,59.2293,Transit,2024
TOI-286 c,TOI-286,39.361826,0.213,0.0,1.88,3.72,3.72,3.09,22.44,475.0,89.69,5152.0,0.78,0.83,0.386,-0.05,4.59,59.2293,Transit,2024
TOI-2977 b,TOI-2977,2.3505614,0.03386,0.0,13.159,533.95172,533.95172,1.28,947.8,1544.0,89.19,5691.0,1.07,0.94,0.037,0.013,4.35,,Transit,2023
TOI-2981 b,TOI-2981,3.601501,0.048,0.035,13.4,638.0,638.0,1.46,556.62,1358.0,87.98,5940.0,1.08,1.03,0.116,-0.11,4.28,527.789,Transit,2024
TOI-3023 b,TOI-3023,3.9014971,0.0505,0.0,16.432,197.05361,197.05361,0.245,1084.0,1596.0,88.9,5760.0,1.67,1.12,0.444,0.085,4.05,389.916,Transit,2023
TOI-3071 b,TOI-3071,1.266938,0.0249,0.09,7.16,68.2,68.2,1.02,2579.61,2155.0,82.1,6177.0,1.31,1.29,,0.35,4.37,485.219,Transit,2024
TOI-3082 b,TOI-3082,1.926907,,,3.662,,,,131.65,1033.0,87.63,4263.0,0.68,0.66,,0.17,4.62,113.048,Transit,2023
TOI-3235 b,TOI-3235,2.59261842,0.02709,0.029,11.4,211.35589,211.35589,0.78,13.89,604.0,88.14,3388.8,0.37,0.39,-1.79,0.264,4.9,72.811,Transit,2023
TOI-3261 b,TOI-3261,0.8831331,0.01714,0.0,3.82,30.3,30.3,3.0,1466.0,1722.0,87.8,5068.0,0.85,0.86,-0.367,0.138,4.19,300.141,Transit,2024
TOI-329 b,TOI-329,5.70439,0.0638,0.39,4.941,40.4,40.4,1.84,576.87,1213.0,,5614.0,1.53,1.07,0.325,0.205,4.09,284.388,Transit,2024
TOI-332 b,TOI-332,0.777038,0.0159,0.0,3.2,57.2,57.2,9.6,4180.32,1871.0,86.4,5251.0,0.87,0.88,,0.256,4.46,222.852,Transit,2023
TOI-3321 b,TOI-3321,3.6525145,0.047,0.054,15.558,176.07694,176.07694,0.255,967.92,1616.0,86.33,5850.0,1.55,1.04,0.405,-0.103,4.08,285.895,Transit,2024
TOI-3331 A b,TOI-3331 A,2.0180231,0.03144,0.0,12.98,721.47048,721.47048,1.82,818.5,1488.0,85.4,5609.0,0.95,1.02,-0.093,0.148,4.49,217.193,Transit,2022
TOI-3353.01,TOI-3353,4.6657965,0.060118,,2.667,,,,313.04,1264.0,,6365.0,1.02,1.33,,,4.55,78.7577,Transit,2024
TOI-3362 b,TOI-3362,18.09547,0.153,0.815,12.801,1598.35906,1598.35906,,37.21,688.0,89.14,6532.0,1.83,1.45,0.739,0.017,4.07,366.987,Transit,2021
TOI-3364 b,TOI-3364,5.8768918,0.0675,0.0,12.229,530.77344,530.77344,1.6,425.0,1264.0,88.79,5706.0,1.42,1.19,0.286,0.387,4.21,277.899,Transit,2023
TOI-3540 A b,TOI-3540 A,3.119999,0.04289,0.0,23.539,375.03752,375.03752,0.065,841.3,1498.0,81.93,5810.0,1.23,1.08,0.19,0.176,4.29,,Transit,2022
TOI-3568 b,TOI-3568,4.417965,0.0485,0.035,5.3,26.4,26.4,0.98,130.15,899.0,89.2,4969.0,0.72,0.78,0.33,-0.01,4.63,197.906,Transit,2024
TOI-3629 b,TOI-3629,3.9365578,0.04194,0.056,8.295,77.2323,77.2323,0.743,43.0,711.0,88.74,3865.0,0.61,0.64,-1.125,0.549,4.67,130.091,Transit,2022
TOI-3688 A b,TOI-3688 A,3.246075,0.0456,0.0,13.081,311.47184,311.47184,0.76,924.3,1534.0,87.9,5950.0,1.3,1.2,0.283,0.262,4.29,396.378,Transit,2023
TOI-3693 b,TOI-3693,9.088516,0.0813,0.0,12.599,324.18498,324.18498,0.89,68.6,801.0,89.57,5321.0,0.79,0.87,-0.344,0.071,4.58,176.436,Transit,2022
TOI-3714 b,TOI-3714,2.15484802,0.0263,0.047,11.142,218.98377,218.98377,0.871,57.0,764.0,87.83,3652.0,0.5,0.52,-1.407,0.39,4.76,112.71,Transit,2022
TOI-3757 b,TOI-3757,3.438753,0.03845,0.14,12.0,85.3,85.3,0.27,55.4,759.0,86.76,3913.0,0.62,0.64,-1.06,0.0,4.68,181.139,Transit,2022
TOI-3785 b,TOI-3785,4.6747373,0.043,0.11,5.14,14.95,14.95,0.61,19.1,582.0,88.1,3576.0,0.5,0.52,-1.435,0.099,4.75,79.7634,Transit,2023
TOI-3807 b,TOI-3807,2.8989727,0.0421,0.0,18.495,330.54154,330.54154,0.289,1230.0,1646.0,80.81,5772.0,1.47,1.18,0.332,0.278,4.17,421.745,Transit,2023
TOI-3819 b,TOI-3819,3.2443141,0.04611,0.0,13.137,352.78953,352.78953,0.85,1186.0,1633.0,82.79,5859.0,1.54,1.24,0.4,0.273,4.16,558.141,Transit,2023
