pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,discoverymethod,disc_year
11 Com b,11 Com,323.21,1.178,0.238,,4914.89849,,,,,,4874.0,13.76,2.09,1.978,-0.26,2.45,93.1846,Radial Velocity,2007
11 UMi b,11 UMi,516.21997,1.53,0.08,,4684.8142,,,,,,4213.0,29.79,2.78,,-0.02,1.93,125.321,Radial Velocity,2009
14 And b,14 And,186.76,0.775,0.0,,1131.1513,,,,,,4888.0,11.55,1.78,1.84,-0.21,2.55,75.4392,Radial Velocity,2008
14 Her b,14 Her,1765.0389,2.774,0.373,,2559.47216,2559.47216,,,,144.652,5314.94,1.0,0.91,-0.153,0.405,4.43,17.9323,Radial Velocity,2002
16 Cyg B b,16 Cyg B,799.45,1.676,0.6832,,556.83537,,,,,,5711.97,1.16,0.98,0.097,0.074,4.3,21.1397,Radial Velocity,1996
17 Sco b,17 Sco,578.38,1.45,0.06,,1373.01872,,,,,,4157.0,25.92,1.22,2.254,-0.01,1.7,124.953,Radial Velocity,2020
18 Del b,18 Del,982.85,2.476,0.024,,2926.24614,,,,,,4980.0,8.8,2.1,1.634,-0.06,2.87,76.222,Radial Velocity,2008
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.0,,18.647,4000.0,4000.0,,,1700.0,,4060.0,1.31,0.85,-0.37,,4.0,139.135,Imaging,2008
24 Boo b,24 Boo,30.33,0.194,0.032,,280.64248,,,,,,4816.0,12.19,1.05,1.877,-0.78,2.28,95.9863,Radial Velocity,2018
24 Sex b,24 Sex,452.8,1.333,0.09,,632.46,,,,,,5098.0,4.9,1.54,1.164,-0.03,3.5,72.0691,Radial Velocity,2010
24 Sex c,24 Sex,883.0,2.08,0.29,,273.32,,,,,,5098.0,4.9,1.54,1.164,-0.03,3.5,72.0691,Radial Velocity,2010
2M0437 b,2MASS J04372171+2651014,,118.0,,,1271.31363,1271.31363,,,1450.0,,3100.0,0.84,0.17,-1.164,0.01,4.5,128.484,Imaging,2021
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,84.0,,,4131.79,4131.79,,,,,,,0.19,,,,,Imaging,2013
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52.0,,11.209,7786.5,7786.5,,,1600.0,,3309.0,0.37,0.35,-1.838,,4.86,33.8281,Imaging,2013
2MASS J02192210-3925225 b,2MASS J02192210-3925225,,156.0,,16.141,4417.837,4417.837,,,,,3064.0,0.28,0.11,-2.23,,4.59,,Imaging,2015
2MASS J0249-0557 c,2MASS J0249-0557 A,,1950.0,,,3686.80952,3686.80952,,,,,,,0.05,-2.59,,,66.0613,Imaging,2018
2MASS J03590986+2009361 b,2MASS J03590986+2009361,,572.0,,,5720.91133,5720.91133,,,2369.0,,,,,,,,117.435,Imaging,2024
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,15.0,,,2383.6,2383.6,,,,,,,0.02,,,,,Imaging,2010
2MASS J11011926-7732383 b,2MASS J11011926-7732383,,266.0,,,8899.1954,8899.1954,,,2677.0,,,,,,,,,Imaging,2024
2MASS J11550485-7919108 b,2MASS J11550485-7919108,,587.0,,,6356.56814,6356.56814,,,2506.0,,,,,,,,100.862,Imaging,2024
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,46.0,,,1271.0,1271.0,,,1150.0,,2825.0,0.22,0.19,-2.561,,5.03,64.308,Imaging,2004
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,0.92,0.33,,591.16084,603.877,,,,,29564.0,0.2,0.48,,,5.51,396.332,Eclipse Timing Variations,2015
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,7493.0,,,3813.94088,3813.94088,,,1616.0,,,,,,,,34.1154,Imaging,2024
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,230.0,,,3972.875,3972.875,,,,,4045.0,,0.6,,,,69.5737,Imaging,2016
30 Ari B b,30 Ari B,335.10001,0.99,0.29,,4392.4106,,,,,,6331.0,1.41,1.93,,0.19,4.43,44.657,Radial Velocity,2009
4 UMa b,4 UMa,270.27,0.877,0.453,,2511.48007,,,,,,4415.0,18.11,1.23,,-0.25,1.8,73.4603,Radial Velocity,2006
42 Dra b,42 Dra,479.1,1.19,0.38,,1233.13,,,,,,4200.0,22.03,0.98,,-0.46,1.71,90.6545,Radial Velocity,2008
47 UMa b,47 UMa,1076.6,2.059,0.016,,774.86566,,,,,,5829.16,1.14,1.01,0.198,0.026,4.33,13.7967,Radial Velocity,1996
47 UMa c,47 UMa,2287.0,3.404,0.179,,157.96072,,,,,,5829.16,1.14,1.01,0.198,0.026,4.33,13.7967,Radial Velocity,2001
47 UMa d,47 UMa,19000.0,13.8,0.38,,479.92089,,,,,,5829.16,1.14,1.01,0.198,0.026,4.33,13.7967,Radial Velocity,2009
51 Eri b,51 Eri,11688.0,12.0,0.45,,635.66,635.66,,,700.0,133.0,7295.0,1.49,1.65,0.752,-0.027,4.31,29.7575,Imaging,2015
51 Peg b,51 Peg,4.2307969,0.05235,0.0042,,147.47238,146.2018,,,,80.0,5760.76,1.19,1.07,0.136,0.206,4.32,15.4614,Radial Velocity,1995
55 Cnc b,55 Cnc,14.65171,0.1162,0.0048,,267.29369,254.25,,,700.0,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,Radial Velocity,1996
55 Cnc c,55 Cnc,44.3827,0.2432,0.048,,54.34866,54.4738,,,,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,Radial Velocity,2004
55 Cnc d,55 Cnc,4820.0,5.54,0.139,,908.98924,1232.493,,,,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,Radial Velocity,2002
55 Cnc e,55 Cnc,0.73654625,0.01583,0.036,1.897,9.37594,7.74,6.25,2657.83,1831.0,83.6,5234.0,0.94,0.91,-0.197,0.31,4.45,12.5855,Radial Velocity,2004
55 Cnc f,55 Cnc,260.98,0.792,0.142,,46.87969,44.812,,,,90.0,5317.89,0.96,0.97,-0.197,0.383,4.46,12.5855,Radial Velocity,2007
6 Lyn b,6 Lyn,919.86,2.028,0.042,,597.83523,,,,,,4941.0,4.94,1.32,1.119,-0.17,3.16,54.6599,Radial Velocity,2008
61 Vir b,61 Vir,4.21487,0.04956,0.099,,5.11704,,,,,,5585.57,1.03,0.91,-0.095,0.028,4.37,8.50332,Radial Velocity,2009
61 Vir c,61 Vir,38.0957,0.2151,0.068,,16.1139,,,,,,5585.57,1.03,0.91,-0.095,0.028,4.37,8.50332,Radial Velocity,2009
61 Vir d,61 Vir,123.01,0.476,0.35,,22.9,,,,,,5577.0,0.96,0.94,-0.095,-0.01,4.34,8.50332,Radial Velocity,2009
7 CMa b,7 CMa,735.1,1.8,0.06,,616.5,,,,,90.0,4826.0,5.2,1.44,1.121,0.21,3.17,19.8101,Radial Velocity,2011
7 CMa c,7 CMa,996.0,2.205,0.08,,289.9,,,,,90.0,4826.0,5.2,1.44,1.121,0.21,3.17,19.8101,Radial Velocity,2019
70 Vir b,70 Vir,116.69335,0.4765,0.3989,,2297.89938,2380.45,,,,,5481.86,1.92,1.06,0.451,-0.04,3.89,17.9011,Radial Velocity,1996
75 Cet b,75 Cet,696.62,1.912,0.093,,787.89662,,,,,,4809.0,10.38,1.92,1.714,0.1,2.69,82.9613,Radial Velocity,2012
75 Cet c,75 Cet,2051.62,3.929,0.023,,289.85951,,,,,,4809.0,10.38,1.92,1.714,0.1,2.69,82.9613,Radial Velocity,2023
8 UMi b,8 UMi,93.4,0.49,0.06,,416.3573,,,,,,4847.0,10.3,1.44,,-0.03,2.57,162.552,Radial Velocity,2015
81 Cet b,81 Cet,1005.57,2.104,0.037,,1051.05854,,,,,,4734.0,11.21,1.23,1.76,-0.11,2.41,101.26,Radial Velocity,2008
91 Aqr b,91 Aqr,181.4,0.7,0.027,,1017.0,,,,,,4665.0,11.0,1.4,,-0.03,2.52,44.0304,Radial Velocity,2013
AB Aur b,AB Aur,,93.9,0.4,,2860.45566,2860.45566,,,,42.6,9770.0,,2.4,1.771,,,162.127,Imaging,2022
AB Pic b,AB Pic,,260.0,,,4290.5,4290.5,,,,,,,,,,,50.0475,Imaging,2005
AF Lep b,AF Lep,7520.0,7.99,0.47,,1664.46737,1664.46737,,,1400.0,82.0,6100.0,1.25,1.2,,0.19,4.4,26.8564,Imaging,2023
AU Mic b,AU Mic,8.46308,0.0649,0.00577,3.957,10.2,10.2,0.97,21.2,600.0,89.579,3678.0,0.74,0.51,-1.038,0.23,4.4,9.7221,Transit,2020
AU Mic c,AU Mic,18.85969,0.1108,0.00338,2.522,14.2,14.2,3.66,7.3,459.0,89.227,3678.0,0.74,0.51,-1.038,0.23,4.4,9.7221,Transit,2021
AU Mic d,AU Mic,12.73596,,0.00305,,1.053,1.053,,,,89.318,3678.0,0.74,0.51,-1.038,0.23,4.4,9.7221,Transit Timing Variations,2023
BD+03 2562 b,BD+03 2562,481.9,1.3,0.2,,2034.112,,,,,,4095.0,32.35,1.14,2.7,-0.71,1.89,1070.63,Radial Velocity,2017
BD+14 4559 b,BD+14 4559,268.94,0.78,0.29,,330.5432,,,,,,4864.0,0.86,0.49,-0.32,0.17,4.26,49.352,Radial Velocity,2009
BD+15 2375 b,BD+15 2375,153.22,0.576,0.001,,337.21763,,,,,,4649.0,8.95,1.08,1.57,-0.22,2.61,768.045,Radial Velocity,2016
BD+15 2940 b,BD+15 2940,137.48,0.539,0.26,,352.78,,,,,,4796.0,14.7,1.1,2.01,0.28,2.8,426.42,Radial Velocity,2013
BD+20 2457 b,BD+20 2457,379.63,1.05,0.15,,17668.1697,,,,,,4259.0,71.02,10.83,3.17,-0.79,1.77,1539.71,Radial Velocity,2009
BD+20 2457 c,BD+20 2457,621.99,2.01,0.18,,3963.17,,,,,,4137.0,49.0,2.8,3.17,-1.0,1.51,1539.71,Radial Velocity,2009
BD+20 274 b,BD+20 274,578.2,1.3,0.21,,1334.886,,,,,,4296.0,17.3,0.8,1.96,-0.46,1.99,1322.51,Radial Velocity,2012
BD+20 594 b,BD+20 594,41.688644,0.241,0.0,2.355,22.2481,22.2481,7.89,,546.0,89.526,5703.0,0.96,0.96,-0.056,-0.06,4.38,179.461,Transit,2016
BD+45 564 b,BD+45 564,307.88,0.83,0.12,,432.24663,,,,,2.579,5004.0,,0.81,,-0.09,4.22,53.622,Radial Velocity,2021
BD+48 738 b,BD+48 738,392.6,1.0,0.2,,289.2253,,,,,,4414.0,11.0,0.74,1.69,-0.2,2.24,871.493,Radial Velocity,2011
BD+48 740 b,BD+48 740,733.0,1.7,0.76,,540.311,,,,,,4534.0,10.33,1.09,1.64,-0.13,2.48,666.589,Radial Velocity,2018
BD+49 828 b,BD+49 828,2590.0,4.2,0.35,,508.5,,,,,,4943.0,7.6,1.52,1.47,-0.19,2.85,442.042,Radial Velocity,2015
BD+55 362 b,BD+55 362,265.59,0.78,0.27,,228.83645,,,,,0.601,5012.0,,0.91,,0.18,4.09,52.5697,Radial Velocity,2021
BD+60 1417 b,BD+60 1417,,1662.0,,14.684,4767.4261,4767.4261,,,1303.0,,4993.0,0.8,1.0,0.356,,4.55,44.9543,Imaging,2021
BD+63 1405 b,BD+63 1405,1230.0,2.115,0.891,,3305.41543,3305.41543,,,,23.5,5000.0,,0.82,,-0.09,4.2,38.0473,Radial Velocity,2021
BD-06 1339 c,BD-06 1339,125.94,0.435,0.31,,53.0,,,,,,4324.0,,0.7,-1.022,-0.14,4.74,20.2695,Radial Velocity,2013
BD-08 2823 b,BD-08 2823,5.6,0.06,0.15,,12.7132,,,,,,4816.0,0.71,0.5,,-0.06,4.43,41.3342,Radial Velocity,2009
BD-08 2823 c,BD-08 2823,237.6,0.68,0.19,,104.0,,,,,,4746.0,,0.74,,-0.07,4.13,41.3342,Radial Velocity,2009
BD-10 3166 b,BD-10 3166,3.487905,0.045,0.022,,142.70495,,,,,,5382.64,0.97,1.0,,0.37,4.46,84.4069,Radial Velocity,2000
BD-11 4672 b,BD-11 4672,1634.0,2.36,0.05,,206.5895,,,,,,4550.0,0.64,0.65,-0.804,-0.35,4.64,27.1665,Radial Velocity,2014
BD-11 4672 c,BD-11 4672,74.2,0.3,0.4,,15.37,,,,,,4550.0,0.64,0.65,-0.804,-0.35,4.64,27.1665,Radial Velocity,2020
BD-13 2130 b,BD-13 2130,714.29999,1.66,0.21,,3108.3774,,,,,,4545.0,19.17,2.12,,-0.08,2.2,925.214,Radial Velocity,2007
BD-14 3065 b,BD-14 3065 A,4.2889731,0.0656,0.066,21.59,3932.0,3932.0,2.15,646.76,2001.0,80.78,6935.0,2.35,1.41,1.06,-0.34,3.85,589.423,Transit,2024
BD-17 63 b,BD-17 63,649.0,1.34,0.28,,1366.66215,1366.66215,,,,80.0,4665.0,0.74,0.74,-0.678,0.01,4.19,34.4603,Radial Velocity,2008
BD-210397 b,BD-210397,1891.0,2.63,0.1,,214.0,,,0.02,,,4051.0,0.75,0.68,-0.87,0.12,4.67,23.7324,Radial Velocity,2023
BD-210397 c,BD-210397,6240.0,5.9,0.43,,1525.57635,1525.57635,,0.0,,33.0,4051.0,0.75,0.69,-0.87,0.12,4.67,23.7324,Radial Velocity,2023
Barnard b,Barnard's star,3.1533,0.02294,0.16,,0.37,,,6.76,400.0,,3195.0,0.18,0.16,-2.45,-0.56,4.9,1.82655,Radial Velocity,2024
CD Cet b,CD Cet,2.2907,0.0185,,,3.95,,,8.6,464.0,87.48,3130.0,0.17,0.16,-2.533,0.13,4.93,8.60715,Radial Velocity,2020
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.5,2.6,,,3337.1,3337.1,,,370.0,,580.5,,0.02,,,4.72,,Imaging,2011
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,8040000.0,200.0,,20.849,2479.06157,2479.06157,,,1800.0,,2320.0,0.24,0.01,-2.85,,3.85,,Imaging,2021
CHXR 73 b,CHXR 73,,210.0,,,3994.486,3994.486,,,,,,,0.35,,,,190.374,Imaging,2006
CI Tau c,CI Tau,25.2,0.17,0.58,,1144.18227,,,,,,,,,,,,157.998,Radial Velocity,2024
COCONUTS-2 b,COCONUTS-2 A,402000000.0,7506.0,,12.442,2542.62726,2542.62726,,,434.0,,3406.0,0.39,0.37,-1.732,0.0,4.83,10.8864,Imaging,2021
CT Cha b,CT Cha,,440.0,,24.66,5403.0,5403.0,,,2600.0,,,,,,,,190.72,Imaging,2007
CoRoT-1 b,CoRoT-1,1.50896877,0.02752,0.036,20.594,390.9309,390.9309,0.302,2852.63,2036.0,85.1,5950.0,1.29,1.22,,0.06,4.33,787.909,Transit,2008
CoRoT-10 b,CoRoT-10,13.23412611,0.1055,0.524,7.385,867.6759,867.6759,3.69,16.11,511.0,88.55,5025.0,0.55,0.89,,0.26,4.88,338.386,Transit,2010
CoRoT-11 b,CoRoT-11,2.99427803,0.04407,0.36,21.746,832.7146,832.7146,1.11,1890.65,1682.0,83.17,6440.0,1.37,1.27,,-0.03,4.22,655.037,Transit,2010
CoRoT-12 b,CoRoT-12,2.828041,0.0392,0.05,15.065,277.46559,277.46559,0.447,661.13,1417.0,85.71,5675.0,1.12,1.08,0.07,0.16,4.38,1126.37,Transit,2010
CoRoT-13 b,CoRoT-13,4.03515,0.05107,0.067,12.533,423.03173,423.03173,2.38,546.53,1233.0,88.02,5945.0,1.01,1.09,,0.01,4.46,1148.93,Transit,2010
CoRoT-14 b,CoRoT-14,1.51214,0.02691,0.036,12.218,2358.2986,2358.2986,7.1,,1936.0,79.6,6040.0,1.21,1.13,,0.05,4.34,1744.6,Transit,2010
CoRoT-16 b,CoRoT-16,5.35227,0.0618,0.37,13.115,168.13207,168.13207,0.41,,,85.01,5650.0,1.19,1.1,,0.19,4.36,732.409,Transit,2011
CoRoT-17 b,CoRoT-17,3.7681,0.0481,0.081,11.433,765.9703,765.9703,2.81,,1610.0,88.3,5740.0,1.59,1.04,,0.0,4.04,1176.12,Transit,2011
CoRoT-18 b,CoRoT-18,1.9000769,0.0288,0.025,12.846,1048.839,1048.839,2.73,823.7,1487.0,89.9,5440.0,1.0,0.95,-0.17,-0.1,4.4,764.889,Transit,2011
CoRoT-19 b,CoRoT-19,3.8971379,0.05166,0.056,13.493,367.09365,367.09365,0.668,1103.81,1470.0,88.0,6090.0,1.65,1.21,0.544,-0.02,4.07,790.663,Transit,2011
CoRoT-2 b,CoRoT-2,1.74299705,0.0281,0.0,15.85,1052.0173,1052.0173,1.553,932.91,1535.0,87.84,5696.0,0.9,0.97,-0.131,0.03,4.42,213.283,Transit,2008
CoRoT-20 b,CoRoT-20,9.24318,0.0891,0.59,11.209,1315.8162,1315.8162,5.2,180.87,1024.0,85.9,5880.0,1.16,1.1,0.17,0.14,4.35,844.061,Transit,2011
CoRoT-20 c,CoRoT-20,1675.0,2.9,0.6,,5403.11,,,,,,,,1.14,,,,844.061,Radial Velocity,2018
CoRoT-21 b,CoRoT-21,2.72474,0.0416,0.39,14.572,705.5826,705.5826,1.24,,,86.8,6200.0,1.95,1.29,,0.0,3.7,,Transit,2012
CoRoT-22 b,CoRoT-22,9.75598,0.092,0.077,4.88,12.2,12.2,0.249,,885.0,89.749,5939.0,1.14,1.1,,0.17,4.36,627.158,Transit,2014
CoRoT-23 b,CoRoT-23,3.6313,0.0484,0.16,11.769,982.0947,982.0947,3.3,,1710.0,85.7,5900.0,1.61,1.14,,0.05,4.01,1060.97,Transit,2011
CoRoT-24 b,CoRoT-24,5.1134,0.056,0.0,3.7,5.7,5.7,0.9,,1070.0,86.5,4950.0,0.86,0.91,,0.3,4.55,591.555,Transit,2014
CoRoT-24 c,CoRoT-24,11.759,0.098,0.0,5.0,28.0,28.0,1.3,,850.0,89.0,4950.0,0.86,0.91,,0.3,4.55,591.555,Transit,2014
CoRoT-25 b,CoRoT-25,4.86069,0.05789,0.22,12.106,93.12419,93.12419,0.24,,1330.0,84.5,6040.0,1.19,1.09,,-0.01,4.31,1103.48,Transit,2013
CoRoT-26 b,CoRoT-26,4.20474,0.0525,0.41,14.123,184.3414,184.3414,0.36,,1600.0,86.8,5590.0,1.79,1.09,,0.01,3.99,1045.18,Transit,2013
CoRoT-27 b,CoRoT-27,3.57532,0.0467,0.034,11.287,3273.649,3273.649,12.5,,1500.0,86.7,5900.0,1.08,1.05,,-0.1,4.4,1010.28,Transit,2014
CoRoT-28 b,CoRoT-28,5.20851,0.059,0.071,10.705,152.87623,152.87623,0.68,,,88.1,5150.0,1.78,1.01,,0.15,3.6,766.183,Transit,2015
CoRoT-29 b,CoRoT-29,2.85057,0.039,0.12,10.088,266.9772,266.9772,1.44,,,87.3,5260.0,0.9,0.97,-0.094,0.2,4.33,806.507,Transit,2015
CoRoT-3 b,CoRoT-3,4.2567994,0.0574,0.016,11.321,6814.2752,6814.2752,25.9,,1695.0,85.9,6740.0,1.56,1.37,,-0.02,4.25,768.771,Transit,2008
CoRoT-30 b,CoRoT-30,9.06005,0.0844,0.007,11.31,921.707,921.707,3.45,,,90.0,5650.0,0.91,0.98,,0.02,4.4,1032.23,Transit,2020
CoRoT-31 b,CoRoT-31,4.62941,0.0586,0.02,16.365,266.9772,266.9772,0.33,,,83.2,5700.0,2.15,1.25,,0.0,3.85,2005.76,Transit,2020
CoRoT-35 b,CoRoT-35,3.22748,0.0429,0.0,18.831,349.61125,349.61125,0.29,,1747.0,84.1,6390.0,1.65,1.01,,-0.5,4.01,1123.21,Transit,2022
CoRoT-36 b,CoRoT-36,5.616531,0.066,0.0,15.805,216.12332,216.12332,0.25,,1567.0,85.83,6730.0,1.52,1.32,,-0.1,4.16,925.958,Transit,2022
CoRoT-4 b,CoRoT-4,9.20164964,0.09025,0.14,13.437,223.43449,223.43449,0.517,203.95,964.0,90.0,6190.0,1.12,1.16,,0.05,4.37,726.412,Transit,2008
CoRoT-5 b,CoRoT-5,4.0379156,0.0495,0.087,14.079,145.88397,145.88397,0.288,786.29,1397.0,85.68,6100.0,1.11,0.99,0.18,-0.25,4.34,882.472,Transit,2009
CoRoT-6 b,CoRoT-6,8.8866287,0.0854,0.18,13.07,937.5985,937.5985,2.3,,1025.0,89.07,6090.0,1.02,1.05,,-0.2,4.42,645.294,Transit,2009
CoRoT-7 b,CoRoT-7,0.8535,0.017016,0.0,1.528,6.056,6.056,9.355,,1756.0,80.98,5250.0,0.84,0.92,-0.289,0.03,4.54,159.906,Transit,2009
CoRoT-7 c,CoRoT-7,3.697,0.045,0.12,,13.289,13.289,,,,80.0,5250.0,0.86,0.92,-0.289,0.06,4.52,159.906,Radial Velocity,2009
CoRoT-7 d,CoRoT-7,8.966,,,,17.142,17.142,,,,,5250.0,,0.92,,,,159.906,Radial Velocity,2022
CoRoT-8 b,CoRoT-8,6.212445,0.0636,0.19,6.938,69.28694,69.28694,1.1,,870.0,88.18,5080.0,0.8,0.89,-0.4,0.3,4.58,322.037,Transit,2010
CoRoT-9 b,CoRoT-9,95.272725,0.4021,0.133,11.949,266.9772,266.9772,0.86,,420.0,89.9,5625.0,0.96,0.96,,-0.01,4.54,412.98,Transit,2009
CoRoTID 223977153 b,CoRoTID 223977153,6.7183678,0.071,,6.389,47.6745,47.6745,1.1,132.26,938.0,89.0,5970.0,0.79,1.08,-0.155,0.0,4.67,576.683,Transit,2017
DE CVn b,DE CVn,4098.1,5.75,0.0,,3823.2733,,,,,86.0,,,0.51,,,,30.5225,Eclipse Timing Variations,2018
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,246.36,0.36,0.345,,9057.77,9057.77,,,,56.6,,,0.07,,,,,Astrometry,2013
DH Tau b,DH Tau,,330.0,,30.264,3496.13,3496.13,,,2200.0,,4371.0,1.37,0.68,-0.212,,4.0,134.846,Imaging,2004
DMPP-1 b,DMPP-1,18.57,0.1462,0.083,,24.27,,,,877.0,,6196.0,1.26,1.21,,,4.41,62.5388,Radial Velocity,2019
DMPP-1 c,DMPP-1,6.584,0.0733,0.057,,9.6,,,,1239.0,,6196.0,1.26,1.21,,,4.41,62.5388,Radial Velocity,2019
DMPP-1 d,DMPP-1,2.882,0.0422,0.07,,3.35,,,,1632.0,,6196.0,1.26,1.21,,,4.41,62.5388,Radial Velocity,2019
DMPP-1 e,DMPP-1,5.516,0.0651,0.07,,4.13,,,,1314.0,,6196.0,1.26,1.21,,,4.41,62.5388,Radial Velocity,2019
DMPP-2 b,DMPP-2,5.2072,0.0664,0.078,,138.89171,,,,1000.0,,6500.0,1.78,1.44,0.104,,4.1,137.94,Radial Velocity,2019
DMPP-3 A b,DMPP-3 A,6.6736,0.0662,0.0,,2.58,,,,854.0,,5138.0,0.91,0.87,,0.18,4.3,45.23,Radial Velocity,2019
DMPP-4 b,DMPP-4,3.4982,0.04853,0.063,,12.2,,,,,,6400.0,1.38,1.25,0.459,-0.007,4.24,25.3284,Radial Velocity,2023
DP Leo b,DP Leo,10220.0,8.19,0.39,,1922.79,1995.88832,,,,,,,0.69,,,,305.684,Eclipse Timing Variations,2009
DS Tuc A b,DS Tuc A,8.1387,,0.0,5.63,413.179,413.179,,115.83,850.0,88.83,5542.0,0.87,0.96,-0.14,-0.08,4.6,44.0622,Transit,2019
EPIC 201170410.02,EPIC 201170410,6.7987,0.0349,0.0,1.047,,,,,,89.002,3648.0,0.28,0.29,,-0.048,5.0,,Transit,2020
EPIC 201238110 b,EPIC 201238110,28.1696,,,2.2,,,,,,,,0.37,0.41,,,,159.259,Transit,2019
EPIC 201427007 b,EPIC 201427007,0.72091,,,1.5,,,,,,88.5,5633.0,0.94,,,-0.053,4.4,706.391,Transit,2021
EPIC 201497682 b,EPIC 201497682,2.13174,,,0.692,,,,,,,,,0.78,,,,253.026,Transit,2019
EPIC 201595106 b,EPIC 201595106,0.87724,0.0177,0.0,1.565,7.67,7.67,11.1,2852.0,2038.0,78.2,5679.0,0.98,0.96,-0.049,0.01,4.43,232.1,Transit,2021
EPIC 201615463 c,K2-166,3.80464,,,1.22,,,,,,,,,1.07,,,,476.882,Transit,2019
EPIC 201754305 d,K2-16,2.71578,,,1.03,,,,,,,,,0.67,,,,334.967,Transit,2019
EPIC 201757695.02,EPIC 201757695,2.0478,0.0296,0.0,0.908,,,,,,89.276,4520.0,0.66,0.73,-0.364,-0.003,4.66,,Transit,2020
EPIC 201833600 c,K2-50,3.96165,,,1.48,,,,,,,,0.63,0.61,,,,257.443,Transit,2019
EPIC 201841433 b,EPIC 201841433,4.1698,0.035,,1.04,,,,,,89.001,5053.0,0.63,0.8,,0.0,4.59,436.488,Transit,2019
EPIC 205950854 c,K2-168,8.0516,,,1.62,,,,,961.0,89.81,5502.7,0.9,0.91,,,,243.935,Transit,2019
EPIC 206024342 b,EPIC 206024342,4.50717,,,1.44,,,,,,,,0.82,0.93,,,,369.888,Transit,2019
EPIC 206024342 c,EPIC 206024342,0.911724,,,1.4,,,,,,91.7,5724.0,1.1,,,-0.22,4.5,369.888,Transit,2021
EPIC 206024342 d,EPIC 206024342,14.647531,,,2.6,,,,,,90.0,5724.0,1.1,,,-0.22,4.5,369.888,Transit,2021
EPIC 206032309 b,EPIC 206032309,2.87814,,,1.01,,,,,,,,,0.22,,,,161.365,Transit,2019
EPIC 206042996 b,EPIC 206042996,5.2986,,,1.7,,,,,,90.5,4114.0,0.5,0.56,,0.006,4.8,451.769,Transit,2019
EPIC 206042996 c,EPIC 206042996,0.354884,,,1.2,,,,,,89.9,4114.0,0.5,,,0.006,4.8,451.769,Transit,2021
EPIC 206215704 b,EPIC 206215704,2.255436,,,1.0,,,,,,89.9,3297.0,0.25,0.41,,-0.33,4.9,109.888,Transit,2019
EPIC 206317286 b,EPIC 206317286,1.58316,,,1.22,,,,,,,,0.67,0.71,,,,314.35,Transit,2019
EPIC 206317286 c,EPIC 206317286,17.515472,,,2.094,,,,,,,4752.0,0.76,0.83,,0.019,4.6,314.35,Transit,2022
EPIC 211822797 b,EPIC 211822797,21.1701963,0.1195,0.06,1.92,,,,3.5,431.0,89.73,4057.0,0.58,0.62,-1.169,0.2,4.7,186.197,Transit,2016
EPIC 211945201 b,EPIC 211945201,19.4921498,0.1493,0.0,5.96,27.0,27.0,0.65,31.91,817.0,87.9,6025.0,1.38,1.18,0.373,0.1,4.25,181.69,Transit,2018
EPIC 212297394 b,EPIC 212297394,2.289363,,,1.48,,,,,1149.0,,5171.0,0.8,0.83,,-0.03,4.55,418.395,Transit,2019
EPIC 212297394 c,EPIC 212297394,5.213965,,,2.27,,,,,866.0,,5171.0,0.8,0.83,-0.467,-0.03,4.55,418.395,Transit,2021
EPIC 212424622 b,EPIC 212424622,18.0971,,,2.21,,,,,,,,1.22,1.11,,,,611.804,Transit,2019
EPIC 212499991 b,EPIC 212499991,34.885,,,1.6,,,,,,,,,0.91,,,,283.29,Transit,2019
EPIC 212587672 b,EPIC 212587672,15.28078,,,1.26,,,,,756.0,,6004.0,0.98,0.99,,-0.18,4.45,320.07,Transit,2019
EPIC 212587672 c,EPIC 212587672,23.228555,,,2.32,,,,,658.0,89.421,6004.0,0.98,0.99,0.038,-0.18,4.45,320.07,Transit,2021
EPIC 212624936 b,EPIC 212624936,0.578657,,,1.2,,,,,,90.3,5765.0,0.93,,,-0.39,4.4,561.929,Transit,2021
EPIC 212624936 c,EPIC 212624936,11.811437,,,2.3,,,,,,90.0,5765.0,0.93,,,-0.39,4.4,561.929,Transit,2021
EPIC 212737443 b,EPIC 212737443,13.603,0.098,0.2,2.586,,,,,536.0,89.071,4684.0,0.67,0.69,-0.751,-0.137,4.62,336.25,Transit,2019
